,body
467,"Layla,

A few points.

I shall be glad to attend the reception.

I am falling behind in getting my presentation ready. Sorry for the delay.
I can commit to delivering the required number of copies on the day of my presentation
(or a day before). I have done it on two occasions before (Power 2000 and Power 1999):
the copies were produced by our company Copy Center at no cost to you. 

My associate, Tanya Tamarchenko, is helping me with one aspect of the presentation and
I would like her to deliver part of my speach. It's only fair to give her the credit when the
credit is due.  Is it OK to include her as an additional speaker?

Vince





""Layla O'Leary"" <loleary@riskwaters.com> on 04/30/2001 09:04:52 AM
Please respond to <loleary@riskwaters.com>
To:	<loleary@riskwaters.com>
cc:	 
Subject:	EPRM 2001 Houston


Dear Speaker,

Pre-Congress Cocktail Reception - Sunday 13th May @ 5:30pm in the Juniper
Room
We would be delighted to have you attend our pre-congress cocktail
reception. We will be extending this invitation to all our sponsors,
exhibitors and EPRM/Risk Waters Group staff.   We hope this will provide a
perfect opportunity for you to meet all our staff and clients before the
formal opening of EPRM 2001 USA

+ RSVP

I would also like to remind you that I need any missing presentations by
Thursday 3rd May.  It is essential that I get these in as the delegates rely
on these to make notes and get very upset if they are not included in the
packs.

If you still haven't informed me of your AV requirements, please do so as
quickly as possible.  I also require a short biography.

I would like to point out that I will not be taking any presentations on
disk to the event.  If you are using a laptop, your presentation should be
loaded onto the laptop that you bring with you.  You must bring your own
laptop and disc, with connecting cables.

Any questions, please do not hesitate to contact me.

Kind Regards



Layla O'Leary
Event Co-ordinator

Risk Waters Group
Haymarket house
28-29 Haymarket
London
SW1Y 4RX

Tel:  +44 (0) 20 7484 9871
Fax:  +44 (0) 20 7484 9800



"
468,"Thanks

John Buchanan

 -----Original Message-----
From: 	Gray, Melody  
Sent:	Friday, December 28, 2001 2:46 PM
To:	Smith, Chris A.
Cc:	Buchanan, John
Subject:	FW: NOTIFICATION: Outlook Outage - Friday, December 28, 2001



 -----Original Message-----
From: 	Joy Pardillo/Enron Communications@ENRON_DEVELOPMENT   On Behalf Of Enron Messaging Administration@ENRON_DEVELOPMENT
Sent:	Friday, December 28, 2001 2:32 PM
To:	Gray, Melody
Cc:	Chris Smith/Enron@EnronXGate
Subject:	RE: NOTIFICATION: Outlook Outage - Friday, December 28, 2001

Outage will begin at 11:00 tonight.



From:	Melody Gray/ENRON@enronXgate on 12/28/2001 02:13 PM
To:	Enron Messaging Administration@Enron
cc:	John Buchanan/ENRON@enronXgate 

Subject:	RE: NOTIFICATION:  Outlook Outage - Friday, December 28, 2001

EMA,

A customer, John Buchanan with ETS, states that the outage must not start BEFORE 10:30 PM.  They have a scheduled maintenance cycle at 10:30 PM and they need to be able to send out confirmation emails to customers until that time.

Please communicate with John at 3-7429 and coordinate this outage.

Thanks,

Melody Gray
Resolution Center

 -----Original Message-----
From: 	Enron Messaging Administration  
Sent:	Friday, December 28, 2001 1:56 PM
To:	DL-Exchange Server Maintenance
Subject:	NOTIFICATION:  Outlook Outage - Friday, December 28, 2001


This is a notice to inform you that the server where your Outlook mailbox resides is scheduled for an outage tonight.  Your mailbox will be temporarily unavailable starting anytime after 8pm and may continue to be unavailable until 12 a.m., when all server maintenance work have been completed.  Outlook Web Access (OWA) will also be unavailable during this time.  

Blackberry users:  Message delivery may be delayed for a few minutes.
 
If you have any questions, please call the Resolution Center at x31411.

"
469,"Thank you.  

 -----Original Message-----
From: 	Bike, Anne  
Sent:	Thursday, October 25, 2001 1:16 PM
To:	Akers, Michelle
Cc:	Grigsby, Mike
Subject:	Confidentiality Language

Michelle: I received this confidentiality language from the legal department.  Please include it with the index survey that we will begin distributing tonight. 


Please be advised that this information is confidential and proprietary.  We ask that this confidential information be treated as such, in accordance with applicable laws and regulations governing disclosure of confidential information by gas marketers such as Enron.
"
470,"I'm home today (Michael has strep again), but I will check email and you can 
call me at home.  This is a good start!  Bear with AR, and call me about 
Barbara.  Sheila knows all she needs to know.

ckm


ps YIPPPEEE!!!!
"
471,"I echo Paul's comments.  This is a tremendously important transaction to 
Enron and could not have been done without the efforts of the entire team.

Conagratulations to the entire team on the closing and thank you for both the 
effort and the creativity.

Ben



	Paul Chivers
	12/07/2000 03:16 AM
		 
		 To: Andrew S Fastow/HOU/ECT@ECT, Ben F Glisan/HOU/ECT@ECT, Mark 
Frevert/NA/Enron@Enron, John Sherriff/LON/ECT@ECT, Michael R 
Brown/LON/ECT@ECT, Greg Whalley/HOU/ECT@ECT, Jeffrey McMahon/HOU/ECT@ECT, 
Michael J Hutchinson/EU/Enron@Enron, Michael Farmer/EU/Enron@ENRON, Tom 
McKeever/EU/Enron@Enron, David P Tregar/EU/Enron@Enron, Kelly H 
Boots/HOU/ECT@ECT, Joe Gold/LON/ECT@ECT, Richard Lewis/LON/ECT@ECT, Matthew 
Scrimshaw/LON/ECT@ECT, Fernley Dyson/LON/ECT@ECT, Mark Evans/Legal/LON/ECT@ECT
		 cc: Bill Appleby/LON/ECT@ECT, Anne Edgley/LON/ECT@ECT, David P 
Tregar/EU/Enron@Enron, Howard Carter/EU/Enron@Enron, Justin Boyd/LON/ECT@ECT, 
Melissa Allen/LON/ECT@ECT, Phillip D Lord/LON/ECT@ECT, Eric Gadd/LON/ECT@ECT, 
Tim DeSpain/HOU/ECT@ECT, Michael Kopper/HOU/ECT@ECT, Peter 
Russell/EU/Enron@Enron, Clive Hutchings/EU/Enron@Enron, William 
Sell/EU/Enron@Enron, Janine Juggins/LON/ECT@ECT, Catharina 
Clabots/LON/ECT@ECT, Angela A Brown/LON/ECT@ECT
		 Subject: $2.15 bn Enron Metals Inventory Financings Closed

Last Tuesday Global Finance Europe closed  a new off balance sheet facility 
with Barclays creating up to $1bn of capacity for existing and new physical 
metals trades for Enron Metals.  This transaction will be added to through an 
additional $350mm of capacity from Credit Lyonnais and compliments the $750mm 
Warrants structure completed in September. 

Each transaction involves a sale of either Physical Metal or Warrants to the 
bank with Enron receiving an associated call option. The bank hedges its 
market risk through a  complimentary foward sale with the LME. The new 
physical metal facility will start receiving its first trades this week.     

The transaction achieves much for Enron: 
Deconsolidation of approximately $2bn of debt financed inventory which came 
with the aquisition of MG plc;
The creation of new capacity to grow the business beyond its existing base; 
Committed facilities for the business unit which are at a lower cost  than 
the original debt financed facilities;  
The creation of an additional  $2.15 bn capacity in the bank markets as the 
facilities extinguish up to 20 lines of existing credit in the banks market; 
A clearer reporting and control structure for the funding of Enron Metals.; 
A repeatable low cost structure which meets all tax and accounting tests for 
applications across all our business lines    

Congratulations to the deal team on this great effort  

EGF     Bill Appleby, Anne Edgley
Enron Metals    David Tregar; John Lunzer; Howard Carter; Clive Hutchings; 
William Sell  
Legal    Justin Boyd 
TransSupport / Acctg   Melissa Allen; Phillip Lord
Tax    Janine Juggins; Catharina Clabots; Angela Brown 


"
472,"

IntercontinentalExchange 
Firm Physical Natural Gas Price Bulletin 
For Natural Gas Delivered on Wednesday, November 21, 2001 
(Trade Date of Tuesday, November 20, 2001) 
Click here to access index history. 
* volume represents sell-side only * 
 Region     Hub 	 High 	 Low 	 Wtd Avg Index 	 Change ($) 	 Vol (mmBtu) 	 Hub Name 	
  LOUISIANA 	   	   	   	   	   	   	
     ANR SE 	 $2.7900 	 $2.1000 	 $2.6126 	 +.5901 	 222,600 	 American Natural Resources Pipeline Co. - SE Transmission Pool 	
     Columbia Onshore 	 $2.7450 	 $2.1500 	 $2.5128 	 +.3097 	 305,200 	 Columbia Gulf Transmission Co. - Onshore Pool  	
     Henry Hub 	 $2.8200 	 $2.2200 	 $2.6180 	 +.5406 	 1,538,500 	 Henry Hub tailgate - Louisiana  	
     NGPL LA 	 $2.7400 	 $2.0550 	 $2.5180 	 +.5460 	 287,900 	 Natural Gas Pipeline Co. of America, Louisiana Pool  	
     Tenn 500L 	 $2.7400 	 $2.2800 	 $2.5295 	 +.4989 	 275,100 	 Tennessee Gas Pipeline Co.-Zone L, 500 Leg Pool  	
     Tenn 800L 	 $2.7300 	 $2.2450 	 $2.4840 	 +.4767 	 248,800 	 Tennessee Gas Pipeline Co.-Zone L, 800 Leg Pool  	
     TETCO ELA 	 $2.7900 	 $2.2500 	 $2.5993 	 +.4619 	 164,900 	 Texas Eastern - East LA  	
     TETCO WLA 	 $2.7700 	 $2.3300 	 $2.5976 	 +.6778 	 208,300 	 Texas Eastern - West LA  	
     Transco 65 	 $2.8200 	 $2.3000 	 $2.6756 	 +.5535 	 176,100 	 Transco - Station 65  	
     Trunkline ELA 	 $2.7600 	 $2.0000 	 $2.5481 	 +.5686 	 82,500 	 Trunkline Gas Company - East Louisiana Pool  	
     TxGas SL 	 $2.8400 	 $2.2800 	 $2.6244 	 +.5326 	 245,000 	 Texas Gas Transmission Corp.-Zone SL FT Pool  	
  MIDCONTINENT 	   	   	   	   	   	   	
     MichCon, citygate 	 $2.9000 	 $2.2500 	 $2.8052 	 +.6308 	 219,800 	 Michigan Consolidated  	
     NGPL Midcont 	 $2.5900 	 $2.2300 	 $2.4805 	 +.6875 	 221,700 	 Natural Gas Pipeline Co. of America, Mid-Continent Pool  	
     NGPL Nicor, citygate 	 $2.7975 	 $2.1300 	 $2.6082 	 +.5992 	 1,231,800 	 Natural Gas Pipeline Co. of America, Nicor Citygate 	
     NGPL NIPSCO, citygate 	 $2.8000 	 $2.5400 	 $2.7380 	 +.7435 	 107,500 	 Natural Gas Pipeline Co. of America, Nipsco Citygate 	
     NNG Demarcation 	 $2.7000 	 $2.1250 	 $2.4831 	 +.4382 	 214,200 	 Northern Natural Gas, Demarcation Pool  	
  NORTHEAST 	   	   	   	   	   	   	
     Columbia TCO 	 $2.9100 	 $2.2900 	 $2.7287 	 +.5870 	 533,300 	 Columbia Gas Co. - TCO Pool  	
     Dominion So.Point 	 $3.1000 	 $2.7800 	 $2.8973 	 +.5502 	 235,300 	 Dominion - South Point  	
     TETCO M3 	 $3.3100 	 $2.8000 	 $3.0520 	 +.5224 	 218,400 	 Texas Eastern - M3 Zone  	
     Transco Z-6 (NY) 	 $3.4100 	 $2.9000 	 $3.2445 	 +.6188 	 100,000 	 Transcontinental Gas Pipe Line Corp. - Zone 6 (NY) 	
  WEST 	   	   	   	   	   	   	
     El Paso non-Bondad 	 $2.4500 	 $2.1600 	 $2.3522 	 +.6445 	 183,900 	 El Paso - San Juan Basin, Blanco Pool 	
     Huntingdon/Sumas 	 $2.4500 	 $2.3200 	 $2.3958 	 +.5708 	 126,000 	 Westcoast Energy & Northwest Pipeline Corp. 	
     Opal 	 $2.4100 	 $1.9600 	 $2.2514 	 +.6931 	 109,800 	 Opal 	
     PG&E Citygate 	 $2.6500 	 $2.3800 	 $2.5525 	 +.5769 	 227,500 	 PG&E - Citygate  	
     SoCal Border 	 $2.7200 	 $2.4000 	 $2.5593 	 +.6743 	 208,000 	 Southern California Border Points (Ehrenberg,Topock,Needles) 	
  WEST TEXAS 	   	   	   	   	   	   	
     El Paso - Keystone 	 $2.5300 	 $2.3700 	 $2.4526 	 +.7034 	 606,000 	 El Paso - Keystone Pool 	
     Waha 	 $2.5700 	 $2.3800 	 $2.5118 	 +.6383 	 245,300 	 Waha Hub - West Texas  	


Includes all firm physical fixed price trades done from 7 AM to 11:30 AM Central Prevailing Time on the trade date specified for natural gas delivered on the specified date(s). 
IntercontinentalExchange is the world's most liquid trading platform for over-the-counter energy and metals.  Active markets include North American power and natural gas, global crude and refined oil products, and precious metals.  Traded instruments include forwards, swaps, and options. 
In order to receive the proprietary information contained in this email, you acknowledge and agree that you shall not further disseminate the IntercontinentalExchange Market Data contained herein to any person or entity without the express written consent of IntercontinentalExchange.   Furthermore, you acknowledge that (1) IntercontinentalExchange has exclusive and valuable property rights in this data; (2) IntercontinentalExchange's data is being made available to you only for your own business or personal activities; and (3) you cannot communicate the data, in any form, to any other person or entity without the express written consent of IntercontinentalExchange. 
This data is provided to you free of charge.  IntercontinentalExchange reserves the right to cancel this service at any time for any reason or no reason at all. 
You agree that IntercontinentalExchange does not make any representations or warranties, express or implied, with respect to the data. 
To become an Exchange Participant or inquire about the indices, please contact sales@intcx.com. 
To unsubscribe from this service, click here unsubscribe. 
?Copyright IntercontinentalExchange, Inc. 2001, All Rights Reserved. 
"
473,"According to legal, we have no jurisdiction over the domain name or its use.  

Therefore we have no reason to become involved ( notify either party etc).

Obviously we would not pursue any activity similar to this.

Louise

ps funny though




Louise Kitchen
27/06/2000 09:35
To: Mark Taylor/HOU/ECT@ECT, Justin Boyd/LON/ECT@ECT
cc:  

Subject: spectrononline.com domain name redirecting to enrononline

The spectrononline problem. 

>From initial IT investigation, it appears the domain name is owned by a 
trader at Alliance Gas.  We have had no knowledge of this until one of our 
power traders 
found out yesterday.
Please could you advise if we need to do anything (eg notify Spectron , 
contact the IT resource we located on the web.

Thanks

Louise

Details from web research:

""Ahmed Hammodan Ahmed Hammodan (template COCO-265458) CORE-11
   .
   5 York MansionsChiltern Street
   Marylebone
   London, .   W1M 1PT   England

   Domain Name: spectrononline.com
   Status:      production

   Admin Contact, Technical Contact, Zone Contact:
      Steve Procter (COCO-21639) sales@easily.co.uk
      +441727874464 (FAX) +441727874464""
                                        
---------------------- Forwarded by Louise Kitchen/HOU/ECT on 27/06/2000 
09:15 ---------------------------


Louis Redshaw
27/06/2000 05:57
To: Louise Kitchen/HOU/ECT@ECT
cc: Derek Edmiston/LON/ECT@ECT, Simon Hastings/LON/ECT@ECT 

Subject: spectrononline.com redirecting to enrononline

excellent ruse!  We heard about this through other brokers who heard it from 
a counterparty.  However I tried the same for ICAPonline and 
intercapitalonline after Derek joked with them that we'd done it for all the 
other brokers, and they had no sites.  I wonder if they'll reserve the sites 
for themselves now that their minds have been focused, if you were thinking 
of doing the same for other brokers names, we should get moving.

Hope Houston's treating you well,

Louis



"
474,"Hi,
My name is Kevin Jackson and I had an idea while at the Body shop today.  Would it be possible to propose that Enron operate as a subsidiary of Dynegy, with the option to become an independent company after two years?  Without understanding the details of the merger conversations and options, it is my feeling that this could be beneficial for both companies.  Enron would obtain the cash infusion that it need, maintaining the culture and pulse of what makes us leaders; and Dynegy would retain its stock value and increase its bottom line profitability by having Enron as a substantial asset to its overall business portfolio.

We as employees of Enron are here because we are proud of a culture that sets us apart from any other company in the world.  Regardless of what is going on around us, we can still stand proud of what we have accomplished and the great talent pool we have here.  I know times are tough for you now as it is for us all, but we will survive and I support and trust your vision that made us a great company.

Thanks and I am interested in your feedback.

Regards,

Kevin Jackson
SAP Basis

Email: Kevin.Jackson@Enron.com
Phone: 713-345-5605
Pager: 877-243-2278 
ISC web page: <http://isc.enron.com/site> 
"
475,"are you gonna be in town this weekend?  chad & i are thinking about going 
tubbing.
"
476,"----- Forwarded by Cindy Derecskey/Corp/Enron on 12/08/2000 09:45 AM -----

	Emma Facy@ECT
	12/08/2000 03:41 AM
		 
		 To: Jackie Gentle/LON/ECT@ECT, Mark Pickering/LON/ECT@ECT, John 
Sherriff/LON/ECT@ECT, Karen Denne/Corp/Enron@ENRON, Cindy 
Derecskey/Corp/Enron@Enron, Ann M Schmidt/Corp/Enron@ENRON, Katy 
Lomax/LON/ECT@ECT
		 cc: 
		 Subject: Press Clippings - Enron Mention - GARY HAMEL

""Chance for Survival"" - GARY HAMEL


---------------------- Forwarded by Emma Facy/LON/ECT on 07/12/2000 17:28 
---------------------------

"
477,"Both of these are capitalized terms in rev 23.  Is there a difference?  Load 
Projection Model is in definitions, but Load Forecasting Model is used quite 
a bit. 

ckm
"
478,"
I burned you a couple of CD's, some old stuff, some  new stuff. 
 
Get them to you this weekend. 
 
BT 
"
479,"The attached memo summarizes the status of the HPL transaction.  Please call 
me with any questions.

Regards,
Brian
"
480,"Given that we are having the MC mtg. on Wed. afternoon, there will not be a meeting on Tuesday, following the holiday.

Thanks.

If any questions, please give me a call.

Rosie - 36088

"
481,"Leslie,

I'm trying to get a jump on making sure we have everything done properly in Enpower for the month of January.  My question is whether we, the West desk, should enter any changes in Enpower due to OUR non-delivery and/or incremental deals?  We have everything recorded on our Trade sheets, but if it would make it easier for you to settle or relay to the Estate by us making the changes in Deal Scheduling, we can do so.  

I also understand, after talking to John, you will be using our Trade sheets for such changes for the month of December.  I'm not sure who you would like us to assist in translating our sheets, but if you can call me, we can set up a conference call and I'll coordinate from each desk to attend.  

If there is anything else that you need us to do to help your group please let me know.

Diana Scholtes
West Desk 
503-464-3807
"
482,"p	45
o	15
 -----Original Message-----
From: 	Wong, Michael F   
Sent:	Tuesday, December 04, 2001 11:54 AM
To:	Richey, Cooper
Subject:	tomorrow's mark

please let me know how it is looking tomorrow when you get a chance.  thanks,
MW
"
483,"

Joanne Rozycki
Senior Administrative Assistant
Enron North America Corp.
1400 Smith Street, EB3880D
Houston, TX  77002
Phone:  (713) 853-5968     Fax:      (713) 646-3490
Email:   joanne.rozycki@enron.com
"
484,"

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IntercontinentalExchange                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Firm Power Price Bulletin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  For Power Delivered on Wednesday, October   24, 2001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 (Trade Date of Tuesday, October   23, 2001)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Click here to access index history .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 * volume represents sell-side only *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            

Hub	High	Low	Wtd Avg Index	Change ($)	Vol (Mwh)	
Cinergy	         $28.50	         $24.00	         $26.90	+   6.40	          81,600	
Comed	         $26.50	         $23.00	         $24.25	+   5.34	           4,800	
Entergy	         $25.50	         $22.70	         $24.72	+   2.62	          20,000	
Nepool	         $38.70	         $38.50	         $38.56	+   1.06	           7,200	
PJM-West	         $27.50	         $25.75	         $26.35	+   2.14	          50,400	
TVA	         $30.50	         $24.25	         $27.38	+   6.75	          11,200	


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Includes all trades done from 6 AM to 11 AM Central Prevailing Time on the trade date specified for financially firm power delivered during the on-peak hours (6 AM - 10 PM CPT for Eastern hubs / 6 AM - 10 PM Pacific Prevailing Time for Western hubs) on the delivery date(s) specified.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      IntercontinentalExchange is the world's most liquid trading platform for over-the-counter energy and metals.  Active markets include North American power and natural gas, global crude and refined oil products, and precious metals.  Traded instruments include forwards, swaps, and options.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
In order to receive the proprietary information contained in this email, you acknowledge and agree that you shall not further disseminate the IntercontinentalExchange Market Data contained herein to any person or entity without the express written consent of IntercontinentalExchange.    Furthermore, you acknowledge that (1) IntercontinentalExchange has exclusive and valuable property rights in this data; (2) IntercontinentalExchange's data is being made available to you only for your own business or personal activities; and (3) you cannot communicate the data, in any form, to any other person or entity without the express written consent of IntercontinentalExchange.                                                                                                                                                                                                                                                                                                                             
This data is provided to you free of charge.  IntercontinentalExchange reserves the right to cancel this service at any time for any reason or no reason at all.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
You agree that IntercontinentalExchange does not make any representations or warranties, express or implied, with respect to the data.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
To become an Exchange Participant or inquire about the indices, please contact sales@intcx.com .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
To unsubscribe from this service, click here unsubscribe .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ?Copyright IntercontinentalExchange, Inc. 2001, All Rights Reserved.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
"
